POST 2025-12-14T16:19:45+08:00 | Action: set_delivery_start_date | OrderID: 197
POST 2025-12-14T16:20:28+08:00 | Action: assign_rider | OrderID: 197
POST 2025-12-14T16:21:34+08:00 | Action: resend_rider_sms | OrderID: 197
POST 2025-12-14T16:33:19+08:00 | Action: resend_rider_sms | OrderID: 197
POST 2025-12-14T16:36:50+08:00 | Action: resend_rider_sms | OrderID: 197
POST 2025-12-14T16:44:19+08:00 | Action: resend_rider_sms | OrderID: 197
POST 2025-12-14T16:46:57+08:00 | Action: resend_rider_sms | OrderID: 197
POST 2025-12-14T17:01:04+08:00 | Action: resend_rider_sms | OrderID: 196
POST 2025-12-14T17:02:10+08:00 | Action: resend_rider_sms | OrderID: 196
POST 2025-12-14T17:03:43+08:00 | Action: resend_rider_sms | OrderID: 196
POST 2025-12-14T17:09:35+08:00 | Action: update_status | OrderID: 197
POST 2025-12-14T17:10:00+08:00 | Action: update_status | OrderID: 196
POST 2025-12-14T17:10:17+08:00 | Action: assign_rider | OrderID: 197
POST 2025-12-14T17:23:42+08:00 | Action: resend_rider_sms | OrderID: 193
POST 2025-12-14T17:23:51+08:00 | Action: assign_rider | OrderID: 196
POST 2025-12-14T17:35:01+08:00 | Action: resend_rider_sms | OrderID: 193
POST 2025-12-14T17:35:06+08:00 | Action: update_status | OrderID: 197
POST 2025-12-14T17:35:21+08:00 | Action: update_status | OrderID: 197
POST 2025-12-14T17:35:40+08:00 | Action: update_status | OrderID: 197
POST 2025-12-14T18:02:36+08:00 | Action: set_delivery_start_date | OrderID: 199
POST 2025-12-14T18:04:31+08:00 | Action: set_delivery_start_date | OrderID: 200
POST 2025-12-14T18:04:36+08:00 | Action: update_status | OrderID: 196
POST 2025-12-14T18:04:59+08:00 | Action: assign_rider | OrderID: 199
POST 2025-12-14T18:06:21+08:00 | Action: update_status | OrderID: 199
POST 2025-12-14T18:06:54+08:00 | Action: assign_rider | OrderID: 200
POST 2025-12-14T18:56:48+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:04:47+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:21:09+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:24:27+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:24:39+08:00 | Action: assign_rider | OrderID: 200
POST 2025-12-14T19:43:14+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:43:48+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:46:56+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:47:15+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:49:22+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T19:52:32+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T20:07:37+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T20:08:20+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T20:08:22+08:00 | Action: update_status | OrderID: 200
POST 2025-12-14T20:09:39+08:00 | Action: resend_rider_sms | OrderID: 193
POST 2025-12-14T20:10:08+08:00 | Action: update_status | OrderID: 200
POST 2025-12-15T07:30:29+08:00 | Action: update_status | OrderID: 200
POST 2025-12-15T07:34:55+08:00 | Action: update_status | OrderID: 200
POST 2025-12-15T07:35:09+08:00 | Action: assign_rider | OrderID: 200
POST 2025-12-15T07:47:58+08:00 | Action: update_status | OrderID: 200
POST 2025-12-15T07:48:09+08:00 | Action: assign_rider | OrderID: 200
POST 2025-12-15T07:54:53+08:00 | Action: update_status | OrderID: 199
POST 2025-12-15T07:55:04+08:00 | Action: assign_rider | OrderID: 199
POST 2025-12-15T07:55:59+08:00 | Action: verify_proof | OrderID: 199
POST 2025-12-15T07:57:54+08:00 | Action: verify_proof | OrderID: 200
POST 2025-12-15T08:00:50+08:00 | Action: update_status | OrderID: 197
POST 2025-12-15T08:01:01+08:00 | Action: assign_rider | OrderID: 197
POST 2025-12-15T08:04:54+08:00 | Action: verify_proof | OrderID: 197
POST 2025-12-16T09:11:53+08:00 | Action: set_delivery_start_date | OrderID: 201
POST 2025-12-16T09:12:15+08:00 | Action: update_status | OrderID: 193
